127.0.0.1, 2015-10-26 21:24:03, GET, /, HTTP/1.1, 500, 0.222859
127.0.0.1, 2015-10-26 21:24:07, GET, /admin/default/ticket/init/127.0.0.1.2015-10-26.21-24-03.95d64e0e-3c14-4ae2-b8c6-47c218928bf5, HTTP/1.1, 303, 0.106427
127.0.0.1, 2015-10-26 21:24:07, GET, /admin/default/index, HTTP/1.1, 200, 0.039447
127.0.0.1, 2015-10-26 21:24:10, POST, /admin/default/index, HTTP/1.1, 303, 0.046161
127.0.0.1, 2015-10-26 21:24:10, GET, /admin/default/ticket/init/127.0.0.1.2015-10-26.21-24-03.95d64e0e-3c14-4ae2-b8c6-47c218928bf5, HTTP/1.1, 200, 0.055750
127.0.0.1, 2015-10-26 21:25:42, GET, /, HTTP/1.1, 500, 0.041931
127.0.0.1, 2015-10-26 21:25:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000286
127.0.0.1, 2015-10-26 21:25:44, GET, /admin/default/ticket/init/127.0.0.1.2015-10-26.21-25-42.82365c89-85f3-4fee-bf27-28f756b54f01, HTTP/1.1, 200, 0.080675
127.0.0.1, 2015-10-26 21:25:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000194
127.0.0.1, 2015-10-26 21:27:11, GET, /, HTTP/1.1, 500, 0.028144
127.0.0.1, 2015-10-26 21:27:11, GET, /favicon.ico, HTTP/1.1, 400, 0.000317
127.0.0.1, 2015-10-26 21:27:13, GET, /admin/default/ticket/init/127.0.0.1.2015-10-26.21-27-11.aeecc973-0cda-48f0-a95d-66892b33f139, HTTP/1.1, 200, 0.050079
127.0.0.1, 2015-10-26 21:27:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000574
127.0.0.1, 2015-10-26 21:27:33, GET, /, HTTP/1.1, 500, 0.044720
127.0.0.1, 2015-10-26 21:27:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000312
127.0.0.1, 2015-10-26 21:27:35, GET, /admin/default/ticket/init/127.0.0.1.2015-10-26.21-27-33.2de7ff96-c87e-4538-93d8-b62f2353ef0a, HTTP/1.1, 200, 0.051162
127.0.0.1, 2015-10-26 21:27:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000814
127.0.0.1, 2015-10-26 21:28:35, GET, /, HTTP/1.1, 500, 0.042609
127.0.0.1, 2015-10-26 21:28:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000302
127.0.0.1, 2015-10-26 21:28:36, GET, /, HTTP/1.1, 500, 0.037655
127.0.0.1, 2015-10-26 21:28:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000272
127.0.0.1, 2015-10-26 21:28:36, GET, /, HTTP/1.1, 500, 0.039225
127.0.0.1, 2015-10-26 21:28:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000663
127.0.0.1, 2015-10-26 21:28:37, GET, /, HTTP/1.1, 500, 0.042968
127.0.0.1, 2015-10-26 21:28:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000339
127.0.0.1, 2015-10-26 21:28:37, GET, /favicon.ico, HTTP/1.1, 400, 0.000275
127.0.0.1, 2015-10-26 21:28:37, GET, /, HTTP/1.1, 500, 0.032753
127.0.0.1, 2015-10-26 21:32:56, GET, /, HTTP/1.1, 500, 0.027707
127.0.0.1, 2015-10-26 21:32:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000340
127.0.0.1, 2015-10-26 21:32:58, GET, /admin/default/ticket/init/127.0.0.1.2015-10-26.21-32-56.0cf86130-4afb-4f0e-8201-6a7251854913, HTTP/1.1, 200, 0.063699
127.0.0.1, 2015-10-26 21:32:58, GET, /favicon.ico, HTTP/1.1, 400, 0.001094
127.0.0.1, 2015-10-26 21:34:08, GET, /, HTTP/1.1, 500, 0.036178
127.0.0.1, 2015-10-26 21:34:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000365
127.0.0.1, 2015-10-26 21:34:09, GET, /admin/default/ticket/init/127.0.0.1.2015-10-26.21-34-08.b60f80dc-077d-49e2-a204-363554045273, HTTP/1.1, 200, 0.065182
127.0.0.1, 2015-10-26 21:34:09, GET, /favicon.ico, HTTP/1.1, 400, 0.000439
127.0.0.1, 2015-10-26 21:34:42, GET, /, HTTP/1.1, 500, 0.030203
127.0.0.1, 2015-10-26 21:34:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000283
127.0.0.1, 2015-10-26 21:34:44, GET, /admin/default/ticket/init/127.0.0.1.2015-10-26.21-34-42.b4989cfb-2fd1-4478-8ef6-fa7478f33f92, HTTP/1.1, 200, 0.054295
127.0.0.1, 2015-10-26 21:34:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000346
127.0.0.1, 2015-10-26 21:36:14, GET, /, HTTP/1.1, 500, 0.036698
127.0.0.1, 2015-10-26 21:36:14, GET, /favicon.ico, HTTP/1.1, 400, 0.000333
